Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction_v2
1,1,37,1,1,2050,2,5,5,5,1,4,4,2,2,2,2,2,2,4,0,0.0,0
1,1,8,1,1,2086,2,1,2,1,2,2,2,2,1,1,4,3,3,2,3,0.0,0
1,1,46,0,2,598,4,4,4,4,5,4,5,5,4,4,4,4,4,5,16,15.0,1
1,1,42,1,1,2936,2,2,2,2,4,2,5,4,4,4,4,2,4,2,1,0.0,1
1,1,44,0,2,2172,4,4,4,4,2,1,2,5,5,5,5,2,5,5,0,0.0,1
1,1,42,1,1,2562,3,3,3,3,5,4,5,3,3,2,3,3,3,3,0,5.0,1
1,1,63,0,2,389,3,5,3,5,3,5,4,4,4,3,4,5,4,5,10,0.0,0
0,1,44,0,2,3300,1,4,1,1,1,1,1,1,5,3,4,5,3,1,26,21.0,0
1,0,24,1,2,1879,2,0,2,1,3,2,1,3,1,2,4,1,5,3,0,0.0,0
1,1,21,0,2,1826,2,2,2,2,2,4,4,5,5,5,5,3,5,4,0,0.0,1
1,1,54,1,1,1969,4,4,4,4,3,5,4,5,5,5,5,3,5,4,0,0.0,1
0,1,41,1,1,2096,2,2,2,2,3,4,5,3,3,3,3,3,3,5,4,0.0,1
0,1,59,0,2,1406,1,5,1,4,5,1,5,5,5,4,4,3,4,5,0,0.0,0
1,1,42,1,1,441,2,2,2,2,5,4,5,4,4,4,4,1,4,4,25,27.0,1
1,1,55,1,1,1911,1,1,1,1,2,5,4,5,5,5,5,3,5,4,0,0.0,1
1,1,24,1,2,2232,3,4,4,4,5,5,3,5,3,1,4,5,3,5,0,14.0,1
0,1,35,0,2,1304,2,3,2,2,4,2,4,4,5,5,2,2,1,4,0,0.0,0
1,1,55,1,1,3288,2,4,2,2,3,4,4,5,5,5,5,4,5,5,0,0.0,1
0,0,29,1,1,2020,1,1,1,5,3,1,3,3,5,3,5,5,5,3,29,11.0,0
0,1,61,0,3,3430,4,4,4,1,4,1,1,3,3,5,5,1,3,1,0,0.0,0
1,1,25,1,1,4360,3,4,4,4,3,3,3,3,4,2,4,3,4,3,66,76.0,0
1,1,66,0,1,792,2,2,2,2,4,4,5,5,5,4,5,4,5,3,12,0.0,1
0,1,53,1,1,1781,4,4,4,4,4,5,4,4,4,4,4,4,4,5,0,44.0,1
0,1,53,0,2,1799,4,4,4,3,5,4,5,5,1,2,4,2,4,5,0,3.0,0
0,1,32,0,1,1938,1,4,1,3,5,1,5,5,5,3,5,3,5,5,0,0.0,0
0,1,30,1,1,4530,3,5,5,5,3,3,3,3,1,2,3,1,4,3,0,0.0,0
0,1,30,1,1,4135,1,1,1,1,5,4,5,5,5,1,4,1,5,5,0,0.0,1
0,1,30,1,1,3002,4,4,5,4,4,4,4,4,5,3,5,3,4,4,0,0.0,1
0,1,43,1,2,2332,5,4,4,4,4,5,4,4,4,2,4,4,2,4,18,0.0,1
1,1,30,1,1,2167,1,0,0,4,3,0,1,3,3,5,3,2,3,3,0,0.0,0
1,1,46,1,1,2108,4,4,4,4,3,5,3,5,5,5,4,3,5,5,0,0.0,1
0,1,47,1,1,3605,1,0,0,3,1,4,4,1,1,0,1,2,1,1,39,39.0,0
1,1,24,1,1,2502,5,5,1,5,3,3,3,3,4,4,3,1,2,3,0,0.0,1
1,1,35,0,2,1099,3,5,3,4,5,3,5,5,5,3,5,3,4,5,32,27.0,0
1,1,28,1,1,2183,1,1,1,1,4,4,4,4,4,2,5,4,4,4,0,0.0,1
1,1,39,1,1,3677,3,2,2,2,1,4,4,3,3,3,3,4,3,4,0,5.0,0
0,1,38,1,2,3001,2,4,3,4,2,2,2,2,2,1,4,2,2,2,0,0.0,1
0,1,29,0,2,2074,2,4,2,3,3,2,3,3,3,4,4,4,4,3,0,0.0,0
0,1,61,0,2,1877,2,5,2,2,1,2,1,1,4,3,2,5,5,1,5,1.0,0
0,1,39,1,1,1178,1,1,1,1,3,5,4,3,3,3,3,3,3,5,0,0.0,1
0,1,32,1,1,2083,2,2,2,2,2,2,2,2,2,3,3,3,3,2,0,0.0,0
0,0,35,1,1,2556,3,3,3,3,5,3,5,5,5,2,4,5,4,5,1,0.0,0
0,1,51,1,1,3554,5,5,5,5,5,5,5,4,4,4,4,5,4,5,49,54.0,1
1,0,28,1,1,2054,4,4,4,2,1,4,1,1,4,5,4,4,4,1,0,0.0,1
1,1,38,1,1,3576,5,5,5,5,3,5,5,5,5,4,5,4,5,3,1,12.0,1
0,1,55,0,2,2558,5,5,5,4,4,5,4,4,3,5,5,4,5,4,0,0.0,1
0,1,42,1,1,1680,5,5,5,5,3,4,4,5,5,5,5,1,5,1,0,0.0,1
1,0,22,1,2,1834,1,5,1,3,5,1,5,5,3,5,5,4,4,5,0,16.0,0
0,1,51,1,2,2539,5,1,5,1,5,5,5,2,3,5,3,5,3,5,0,7.0,1
1,0,23,1,1,2994,4,4,5,3,3,5,3,3,5,2,3,3,4,3,0,13.0,1
1,1,37,1,1,689,2,2,2,2,2,4,5,5,5,5,5,5,5,5,0,0.0,1
0,1,22,1,1,4644,2,2,2,2,3,3,3,3,4,3,2,4,5,3,0,0.0,1
0,1,47,1,1,851,5,5,5,5,5,5,4,5,5,5,5,4,5,5,0,0.0,1
0,1,68,0,1,248,4,5,4,3,3,5,2,4,4,4,4,4,4,5,0,1.0,1
1,1,46,1,1,889,2,2,2,2,4,4,5,3,3,3,3,4,3,4,0,0.0,1
0,1,40,1,1,1958,5,5,5,5,2,3,5,4,4,4,4,4,4,5,9,0.0,1
1,1,45,1,2,509,2,3,3,3,1,3,3,2,2,2,2,2,2,2,1,7.0,0
1,1,62,0,2,535,5,5,5,5,5,5,5,4,4,4,4,5,4,3,0,0.0,1
0,1,40,1,1,1220,5,5,5,5,3,3,3,4,4,4,4,1,4,3,0,0.0,1
1,1,36,1,2,2822,4,1,1,1,4,4,4,4,3,3,2,1,3,4,5,0.0,0
1,0,22,1,2,1465,4,5,4,4,3,4,3,3,4,5,4,4,5,3,0,0.0,0
0,1,34,1,1,1195,1,1,1,1,2,5,5,4,4,5,4,4,4,5,109,101.0,1
1,0,38,1,2,2000,2,0,2,4,3,2,3,3,5,3,1,1,4,3,0,5.0,0
1,1,21,1,1,2907,5,5,1,5,5,5,5,5,5,2,4,4,4,5,12,6.0,1
0,1,69,0,2,1669,2,5,2,3,5,2,5,5,4,4,5,4,5,5,0,0.0,0
0,0,20,1,2,1454,4,0,4,3,4,4,4,4,4,5,4,4,4,4,25,17.0,1
0,1,67,0,1,2791,3,4,3,3,3,4,4,4,3,4,5,4,5,4,141,163.0,0
1,1,46,0,1,270,5,5,5,1,2,4,4,2,2,5,2,4,2,4,0,0.0,1
0,1,50,1,1,2878,2,3,3,3,4,3,3,2,2,2,2,4,2,2,0,0.0,0
1,1,58,1,3,60,2,4,4,4,4,3,3,2,2,2,2,2,2,3,30,51.0,0
0,1,66,1,1,1963,0,0,0,3,3,5,5,5,5,5,5,3,5,3,57,46.0,1
0,1,55,0,2,1867,1,5,1,2,1,1,1,1,4,4,4,4,4,1,10,1.0,0
0,1,61,1,1,236,0,4,0,2,1,2,2,3,3,3,3,1,3,4,0,0.0,1
0,0,17,1,1,2985,5,5,5,4,4,5,4,4,4,5,4,5,5,4,1,0.0,1
0,0,35,1,2,2192,3,5,3,1,2,3,4,2,2,2,4,3,1,2,0,7.0,0
1,1,43,1,1,2401,2,3,3,3,5,3,3,2,2,2,2,1,2,3,7,0.0,0
1,1,45,0,2,509,1,1,1,1,3,4,5,4,4,4,4,3,4,5,0,8.0,1
0,0,41,1,2,1533,3,1,3,3,5,3,5,5,1,4,4,4,3,5,4,0.0,0
1,1,17,0,2,3512,4,4,4,4,2,4,5,5,5,5,5,3,5,5,5,0.0,1
0,1,39,1,1,347,3,3,3,3,2,5,5,5,5,5,5,4,5,5,15,7.0,1
0,0,31,1,1,2210,2,2,2,4,3,2,5,3,3,2,3,2,3,3,0,1.0,0
1,1,52,0,3,969,4,4,4,4,3,2,3,3,3,4,3,3,3,4,0,0.0,1
1,1,42,1,2,442,1,2,2,2,3,3,3,1,1,1,1,4,1,3,0,0.0,0
1,1,8,0,2,1587,5,2,5,2,4,4,2,5,5,5,5,5,5,3,28,44.0,1
1,0,17,1,2,2554,1,1,1,4,3,1,3,3,1,3,2,1,3,3,0,2.0,0
0,1,66,1,2,3040,1,1,1,1,1,1,1,1,3,3,4,2,4,1,0,0.0,0
1,1,32,0,2,2272,4,4,4,4,3,5,4,2,2,2,2,3,2,5,0,0.0,1
0,1,46,1,1,2469,1,1,1,1,4,4,4,5,4,4,5,4,5,4,7,32.0,1
1,1,48,1,1,545,4,4,4,4,2,5,4,2,2,2,2,4,2,3,0,31.0,1
0,1,26,1,1,5136,5,5,5,5,5,5,5,5,5,2,5,4,4,5,0,0.0,1
1,1,23,0,2,2056,5,3,3,3,3,1,3,5,5,5,5,4,5,5,0,3.0,1
1,1,35,1,1,1029,1,5,5,5,4,4,4,1,1,2,1,4,1,2,0,0.0,0
1,1,46,1,1,1450,1,4,4,4,3,2,2,1,1,1,1,3,1,4,0,0.0,0
1,0,41,1,2,3065,3,3,3,4,4,3,4,4,4,3,3,1,4,4,0,0.0,0
0,1,45,1,1,3393,5,5,5,5,3,4,5,5,5,5,5,5,5,3,0,3.0,1
0,0,24,1,2,1332,4,0,5,3,4,5,4,4,1,2,4,5,3,4,0,0.0,0
1,1,11,0,2,1592,4,4,4,4,2,4,4,3,3,3,3,4,3,4,0,0.0,1
1,1,39,1,1,2591,4,4,5,4,5,3,5,5,5,5,5,3,5,5,0,1.0,1
1,0,27,1,1,1293,4,4,4,2,3,4,3,3,4,3,4,4,5,3,0,0.0,1
1,0,55,1,2,2013,3,3,3,3,3,3,2,3,4,1,5,1,1,3,0,0.0,0
1,0,41,1,1,1664,4,5,5,2,4,5,4,4,1,5,4,3,2,4,0,0.0,1
1,0,21,1,2,2022,2,2,2,3,4,2,1,4,3,2,3,2,4,4,25,18.0,0
0,1,12,0,2,2196,4,4,4,4,3,4,2,3,2,4,4,2,1,3,0,0.0,0
0,1,50,1,1,4267,2,2,2,2,2,3,3,3,5,4,5,3,4,3,160,164.0,1
1,1,37,0,1,2583,4,3,4,5,4,3,3,1,3,3,1,3,2,3,0,6.0,0
1,1,27,1,1,2958,3,3,3,3,4,4,5,4,3,2,5,4,3,4,39,25.0,1
0,1,57,1,1,3298,1,1,1,1,2,5,5,4,4,4,4,4,4,4,0,0.0,1
1,1,60,1,1,1690,3,3,3,3,5,5,4,5,5,5,5,3,5,5,0,0.0,1
1,1,24,1,1,5038,3,3,4,3,3,4,3,3,5,4,4,5,4,3,4,0.0,1
1,1,38,1,1,3302,5,5,5,5,5,1,2,5,5,5,5,2,5,5,0,0.0,1
1,1,41,1,1,2480,2,2,2,2,5,5,5,3,1,5,1,5,2,5,71,65.0,1
1,0,29,1,1,2370,0,0,0,3,5,0,5,5,5,2,4,4,4,5,0,0.0,1
0,1,45,1,3,1563,4,5,5,5,4,4,4,4,2,4,2,2,3,4,0,0.0,1
0,1,39,1,1,754,2,2,2,2,3,4,5,5,5,5,5,4,5,4,0,0.0,1
0,1,52,1,1,2691,1,1,1,1,1,2,4,4,4,4,4,3,4,5,0,4.0,1
1,1,30,1,1,4669,2,1,2,2,4,4,4,4,3,3,5,5,4,4,0,0.0,1
1,1,54,1,1,3504,4,4,4,4,2,4,5,4,4,4,4,5,4,5,0,0.0,1
0,1,31,1,1,3274,2,1,1,1,2,2,2,2,1,1,4,4,3,2,24,6.0,0
1,1,28,0,2,2442,4,4,4,3,5,4,2,5,5,5,4,5,5,5,0,0.0,0
0,1,34,1,1,1164,2,2,3,2,2,4,4,5,5,5,5,5,5,4,4,0.0,1
1,1,35,1,3,937,3,1,1,1,3,3,3,3,1,3,4,2,4,3,0,17.0,0
1,0,59,1,2,1825,2,3,2,3,4,2,4,4,3,1,3,2,3,4,35,58.0,0
0,1,27,0,2,1914,3,5,3,3,1,3,1,1,1,1,2,5,5,1,0,0.0,0
0,0,25,1,1,2356,5,0,5,2,2,5,2,2,4,2,5,5,4,2,7,0.0,1
1,1,17,1,3,1779,1,3,3,3,1,1,2,1,1,1,3,3,3,1,30,33.0,0
0,1,55,1,1,1157,4,4,4,4,3,4,4,4,4,4,4,5,4,5,2,0.0,1
1,1,59,1,1,240,4,4,4,4,3,5,4,4,4,4,4,3,4,4,2,0.0,1
0,1,39,1,2,1850,5,2,5,2,5,5,5,5,4,5,5,2,2,5,0,0.0,1
0,0,40,1,1,1655,1,1,1,2,5,1,5,5,4,3,5,4,4,5,0,0.0,0
1,1,52,0,2,975,0,5,0,4,4,0,4,4,4,5,4,5,5,4,10,3.0,1
0,1,41,1,2,1646,3,1,1,1,3,3,3,3,1,2,4,4,4,3,9,8.0,0
0,1,36,0,2,1098,3,5,3,4,2,3,2,2,5,4,5,5,4,2,69,78.0,0
0,1,24,0,1,3594,4,4,4,3,4,5,5,2,2,3,3,5,4,5,12,22.0,0
0,1,21,0,2,2135,3,4,3,3,5,3,5,5,5,2,5,4,5,5,91,75.0,0
0,1,64,0,2,1558,1,3,1,5,2,1,2,2,5,5,4,2,2,2,24,18.0,0
0,1,35,1,1,95,4,4,4,4,4,5,2,5,5,5,3,5,5,4,13,4.0,1
0,1,46,1,1,3966,4,4,4,4,5,4,4,4,4,4,4,3,4,3,4,24.0,1
0,1,56,0,3,1879,3,3,3,4,2,3,5,2,3,4,2,5,1,2,16,6.0,0
0,1,57,0,2,2409,4,5,4,1,5,4,1,5,4,5,5,4,4,5,21,69.0,0
0,1,58,1,1,3566,2,2,2,2,2,5,4,5,5,5,5,5,5,5,0,0.0,1
1,1,21,1,1,4342,1,2,4,2,1,1,1,1,2,1,4,1,3,1,0,0.0,0
1,1,30,1,1,3575,1,1,1,1,5,5,5,5,3,5,2,3,5,5,0,24.0,1
0,1,40,1,1,3520,4,4,4,4,2,5,4,4,4,3,4,3,4,3,0,0.0,1
0,1,27,1,1,1425,3,3,3,3,5,5,4,5,4,2,4,1,2,5,0,0.0,1
1,1,56,1,1,3510,4,4,3,4,4,4,5,5,5,5,5,4,5,4,0,0.0,1
0,1,54,1,1,2819,4,1,1,1,2,3,3,2,2,2,4,3,2,3,0,0.0,0
0,1,53,0,2,3418,3,1,2,4,2,5,5,1,2,3,4,5,2,5,5,22.0,0
1,1,54,1,1,1851,1,1,1,1,3,4,4,4,4,4,4,3,4,4,9,0.0,1
0,1,44,1,1,998,4,4,4,4,5,5,4,4,4,4,4,5,4,5,4,12.0,1
1,1,52,1,1,2920,5,5,5,5,3,4,5,5,5,5,5,4,5,4,2,2.0,1
1,1,44,1,1,2744,4,4,2,4,3,5,4,5,5,5,5,4,5,4,0,0.0,1
0,1,58,1,1,2638,5,5,5,5,5,4,4,5,5,5,5,3,5,4,0,4.0,1
1,1,14,0,2,1534,5,5,5,5,3,5,5,5,5,5,5,4,5,4,51,50.0,1
0,1,60,1,1,1390,1,1,3,1,5,4,5,4,4,4,4,5,4,3,8,2.0,1
0,1,53,0,2,2271,3,1,3,4,5,3,5,5,4,1,4,2,4,5,50,49.0,0
0,1,52,1,2,1872,1,5,5,5,1,1,1,1,1,1,4,4,3,1,0,0.0,0
1,1,20,0,2,2164,2,2,3,2,4,4,5,2,2,2,2,4,2,3,5,0.0,1
0,1,11,0,2,1824,2,4,2,4,2,2,2,2,5,2,5,5,5,2,0,0.0,0
0,1,69,0,2,1308,2,4,2,4,5,2,5,5,4,3,3,3,3,5,2,0.0,0
0,1,18,1,1,1759,1,1,3,1,5,4,5,5,4,1,2,2,5,5,0,0.0,1
0,1,47,1,1,68,2,4,4,4,3,2,3,3,3,4,2,2,3,4,0,9.0,0
0,0,25,1,1,1560,4,0,4,4,5,4,1,5,5,5,4,4,5,5,47,57.0,1
